Name,Asset Type,Type,Maintain Customer,Comments,IT Owner,Business Owner,Customer,Product Supplier,Product Vendor,Vendor Support,Description/Use,Business Process,Criticality,Known Risks,DR
3dSecure,Enterprise Application,System Component,n/a,,Application Development,COO~ Payment Services ,Payments Services,EMC,,Complete,Credit card security validation under the ÔSecureCodeÕ for MasterCard and ÔVerified by VisaÕ for Visa scheme. Customer using credit cards for online purchases are prompted for additional security credentials from the Issuing bank~ such as Kiwibank.Ê,,Tier 2,,high,,,,,,,,
AmbitFocus,Enterprise Application,Reporting System,n/a,,Wholesale Application Delivery,Business Markets~ Financial Markets,Treasury,SunGard,SunGard,Complete,Asset and Liability Management for Reserve Bank and Risk reporting (formerly ALM),Bank Liquidity Management (incl. Cash Forecasting & Funding),Unknown,Not fit for purpose,,,,,,,,,
Ask Me,Enterprise Application,System,N,,Application Development,COO~ Enterprise Information,Personal Markets~ Customer Service Experience,N/A,N/A,,Sharepoint Intranet application. Provide customer service staff with access to a single source of information about KiwibankÊservices,,Tier 1,,,,,,,,,,
ATMPro,Enterprise Application,System,N,,Application Development,COO~ Payment Services ,Payments Services,ProfitStars,Unknown,,Server based ATM channel management solution including asset~ site and cash management,ATM Cash Management,Tier 1,,,,,,,,,,
Banklink,Enterprise Application,Actor,n/a,,Application Development,COO~ Payment Services ,Personal Markets,Banklink,Banklink,,Banklink is a company that provides a service enabling a customer to view multiple bank accounts across multiple banks.,,Tier 2,,,,,,,,,,
Biztalk,Enterprise Application,Platform,n/a,,Application Development,COO~ Information Technology,Payments Services~ Retail,Microsoft,IBM (tbc),Complete,Biztalk manages long running system integration workflows and scheduling functionality. Part of Kiwibank Middleware,Make Visa Payments (daily),Tier 1,,,,,,,,,,
Blackpearl,Enterprise Application,Platform,n/a,,Application Development,Personal Markets~ Customer Service Experience,COO~ Information Technology,K2,Venter Consulting Ltd,Complete,Business process management platform for building workflows and process-driven applications. Used for MAC forms~ Securemail and others,,Unknown,,,,,,,,,,
Bloomberg,Enterprise Application,Actor,n/a,,Wholesale Application Delivery,Business Markets~ Financial Markets,Business Markets (Financial Markets),Bloomberg,Bloomberg,Complete,Bloombergs service interface~ feeding financial information in real-time to the Treasury.,Bank Liquidity Management (incl. Cash Forecasting & Funding),Tier 1,,,,,,,,,,
Behavioural Scoring,Enterprise Application,System,Y,,Application Development,Risk Management~ Portfolio Analytics,Risk Management,N/A,N/A,,Database rules engine for 'scoring' customers from a risk~ and behavioural viewpoint,,Tier 2,,,,,,,,,,
PROactive Reconciliation and Investigation ,Enterprise Application,n/a,n/a,,Application Development,COO~ Enterprise Operations ,Enterprise Operations,Broadridge,Broadridge,,Financial solutions for reconcilliation of transactions (one off ?),Reconciliation of Accounts,Unknown,,,,,,,,,,
CallManager,Enterprise Application,System Component (may be an Actor),n/a,,N/A,Personal Markets~ Customer Service Experience,COO,Gen-i,Gen-i,,CallManager tracks all active VoIP network components. Part of the Gen-i Managed Telephony Service~ ,,Tier 1,,,,,,,,,,
CaseBook,Enterprise Application,System,Y,Sharepoint Application,Application Development,Risk Management~ Organisational Resilience,Risk Management,N/A,N/A,,Case management system for investigation and reporting of Financial crime alerts ,Monitoring for Fraud,Tier 2,,,,,,,,,,
Cognos,Enterprise Application,Reporting Platform,n/a,,Technology Operations,COO~ Enterprise Information,Personal Markets~ Business Markets,CDP (part of IBM),CDP (part of IBM),Complete,Business intelligence software used for management reporting by EIS.,Bank Liquidity Management (incl. Cash Forecasting & Funding),Tier 2,,,,,,,,,,
CompaniesOffice,Enterprise Application,Actor,n/a,,N/A,Business Markets~ Distribution,Unknown,NA,N/A,,External data link via manual web browser interaction,,Unknown,,,,,,,,,,
ComplianceLink,Enterprise Application,System Component,n/a,Component of Swift and Int'l Desktop Application,Application Development,Risk Management~ Organisational Resilience,Risk Management,Accuity,Accuity,,Detection of suspicious customers and transactions~ particularly Politically exposed and sanctioned persons and sanctioned transactions.,,Tier 1,,,,,,,,,,
CreditManagement,Enterprise Application,System,Y,Loan application data are uploaded to this system.,Application Development,Risk Management~ Retail Credit,Enterprise Operations,IT,IT,,"The Credit Management Application (CMA) is a replacement for a series of MS Access databases used by the Kiwibank Credit team.ÊIt is a tool used by Credit ManagementÊstaff~ and made up of the following three separate components:
1.ÊDLA Ð Delegated Lending Authority details for Lenders
2.ÊQuality Ð Review and scoring of the ÒQualityÓ ofÊ lending deals referred to Credit Managers
3.ÊHindsight Ð Review and scoring of the previously approved deals by Credit Managers
The CMA is used daily by the Credit team to primarily review the quality of referred deals to Credit Managers. On a monthly basis all approved deals from prior month are reviewed using the Hindsight function. The DLA component is generally used by staff if required to check lending limits when undertaking Quality and Hindsight tasks.
Note: There will be some management reporting from the CMA that will be developed in due course (separate workstream)
System Details
The system is madeÊup of:A smart client desktop application developed by Danny Siew~ IT Applications Developer.New SQL Server database (CreditManagement_db) created by theÊApplication Delivery Team.New data feeds created to supply the new CreditManagement Db with Activate lending data via DataStaging.
Note: Refer to IT Diagrams for more info.
Database FeedsKB Activate data is scheduled to move from Staging to CMA three times a day Ð 9am~ 12 noon and 4pm business daysPL Activate data is scheduled to move from Staging to CMA once per day - 4pm business days
User Access
Business users of CMA will refer to CMA Administrator Ð Senior Credit Manager or Credit Business Analyst for access and allocation of ÔroleÕ levels with the CMA.
Ê",used for hindsighting and quality reporting for lending ( from Activate ),Tier 2,,low,,,,,,,,
CRM Prompts,Enterprise Application,System Component,n/a,,Application Development,COO~ Data Driven Marketing,Personal Markets~ Business Markets,NA,N/A,,"Personalised Customer Prompts within In Touch~ KBMAC and IB~ as well as bulk credit card limit increases via B2K.
Ê
Mail merge files created for the Business (letters to Customers) and produces bulk mailing files for Datam.

Pre-populates Activate with data in preparation for Customer acceptance of mailed instructions.
Ê
oÊVisa debit annual fees
oÊDD authorisation fees
oÊCredit write-offs for Overdrafts

Ê",Administer changes to Insurance policies~ raise premiums~ process dishonours~ cancellations etc.,Tier 2,,,,,,,,,,
Daon,Enterprise Application,?,,May be used to store escrow agreements http://www.daon.com/,Application Development,COO~ Information Technology,Unknown,Software Escrow Guardians Ltd,Software Escrow Guardians Ltd,Complete,Escrow Agreement,,Unknown,,,,,,,,,,
DIMS,Enterprise Application,System,Y,,Application Development,Personal Markets~ Customer Service Experience,Unknown,IT,IT,,"Document and Image Management System (DIMS) is a web Methods layer that calls a SQL Server database that holds indexes of where files are stored on the NAS (soon to be replaced by KB Shares 02).
 
Internet banking and Kiwibrowser use DIMS to retrieve statements and images.
 
Other applications (mainly developed by Andrew Taylor) bypass the DIMS and query the SQL DB index directly.
 
In Touch uses the DIMS to retrieve images from the NAS.",,Tier 1,,,,,,,,,,
DMO,Enterprise Application,?,,No information available,N/A,Personal Markets ,Unknown,,,,,During crisis~ implement relief package for Business and Retail Customers ,Unknown,,,,,,,,,,
DocCollect,Enterprise Application,?,,No information available,N/A,Business Markets~ Financial Markets,Unknown,Citibank,Citibank,,"Electronic Trade Document Collection Service (Ôthe SystemÓ) is a web-enabled export document collection solution provided by Citibank~ Singapore Branch (ÒCitibankÓ) and
powered by Trustcopy Pte Ltd that accepts documents from any electronic document preparation solution to be presented electronically to Citibank under Letters of Credit..

The System is accessed via CitibankÕs Corporate Internet Banking at https://www.asia.citibank.com/singapore/corporate.

The process used is that a document is scanned and placed into a folder on the users PC.
Software supplied by Citi is required to be downloaded onto the users PC with the purpose of converting the document file from a general format (.jpg or .doc or .xls formats for example) into the encrypted format. Once the user complete this step~ the documents are then uploaded into DocCollect and forwarded to Citi for processing.

The products supported by the system are Export Letter of Credits with relatively low volumes processed (3 per week) with the customer being exporters with a requirement to obtain payment for goods sent overseas.
","Process existing Trade Finance  requests  - Loans and Letters of Credit (lcs) 

*NZ Post Payover*",Tier 2,,,,,,,,,,
DocManager,Enterprise Application,System Component or Platform,n/a,A scanning management tool used by Support Services.,Decommisioned,COO,Unknown,IT,IT,,"*Being replaced 2nd half 2011 by SAMS.
Ê
Doc Manager is a scanning management tool used by Support Services.
Ê
Batches of documents (max of 100) are scanned and appear in the list within Doc Manager. The actual images are held as tifs on the NAS (KB Shares 01 & 02).
Ê
AOA documents are also held on the DIMS because In Touch and Kiwibrowser use DIMS to retrieve images. Otherwise Doc manager updates a SQL table on the Data warehouse to hold the index of stored images.
Ê
Yoda is the tool used to view the images scanned by Doc Manager. Gedi is the tool used to view the AP image scanned by Doc Manager~ then updated and loaded into Ultracs.",,Tier 2,,,,,,,,,,
Docushare,Enterprise Application,Actor,n/a,,N/A,COO~ Enterprise Operations ,Unknown,FMS,FMS,,A document management web service provided by FMS (formally Fast). Staff use it to order loan agreements.,,Tier 2,,,,,,,,,,
E2trains,Enterprise Application,n/a,n/a,,Unknown,Finance,Unknown,e2Train Limited,,,Software License Agreement,,Unknown,,,,,,,,,,
Electronic Dishonour Database (EDD),Enterprise Application,System,Y,,Application Development,COO~ Enterprise Operations ,Unknown,IT,IT,,Electronic Dishonour Database has four components: ADS (overnight process on the Data Warehouse)~ Inwards Dishonour (desktop application & DW)~ Outwards Dishonour (desktop application & DW)~ PPR fileÉ  ,During crisis~ implement relief package for Business and Retail Customers.,Tier 2,,,,,,,,,,
EnterpriseTelephony,Enterprise Application,Actor,n/a,,N/A,COO~ Information Technology,Unknown,,,,This Enterprise Telephony item represents the IT systems by which Gen-i provide a 'Managed Telephony Service' to Kiwibank. It is made up of a significant number of components listed.  ICM Router;IVR;Peripheral Gateways;Phone Banking;Telecom infrastructure;Telephony - Contact Centre;Telephony - Corporate;Vodafone infrastructure;Voice Gateways; Mobile Phone (Kiwibank v Individuals); Teleconference facilities. Cisco -  (including Skill Set Changes and Webview~ emergency messages),Assess~ Authorise & Pay claims for Kiwi Insurance.,Tier 1,,,,,,,,,,
ESAS-RTGS,Enterprise Application,Actor,n/a,ESAS is the Reserve Bank of New ZealandÕs Exchange Settlement Account System and along with Real-Time Gross Settlement (RTGS) allows individual transactions between financial institutions to be settled electronically as the transactions happen.,Wholesale Application Delivery,Business Markets~ Financial Markets,Business Markets (Financial Markets),Reserve Bank of NZ,RBNZ,Complete,Interbank settlement via ESAS accounts,Bank Liquidity Management (incl. Cash Forecasting & Funding),Tier 1,,,,,,,,,,
E-Text,Enterprise Application,?,,No information available,N/A,COO~ Enterprise Operations ,Unknown,NA,N/A,,,,Unknown,,,,,,,,,,
Eunexus,Enterprise Application,Actor,n/a,,Unknown,Risk Management,Unknown,Eunexus Pty Ltd,Eunexus Pty Ltd,,Software and Intelligence Subscription,,Unknown,,,,,,,,,,
Financial Crime Risk Management System (FCRM),Enterprise Application,System,Y,,Application Development,Risk Management~ Organisational Resilience,Risk Management,Fiserv,Fiserv,,Financial crime management. Detection and analysis of suspicious transactions and persons. Mainly for Money laundering. Includes analysis~ reporting and case management,"Deal Execution (including booking & bill trading)

*Funds Management*",Tier 2,,,,,,,,,,
FileSharing,Enterprise Application,System Component,n/a,No information available,Technology Operations,Business Markets,Unknown,,,,,During crisis~ implement relief package for Business and Retail Customers ,Unknown,,,,,,,,,,
FinMetrics,Enterprise Application,?,?,No information available,Wholesale Application Delivery,Business Markets~ Financial Markets,Unknown,TIBCO Software Inc,TIBCO Software Inc,,Risk management software,,Unknown,,,,,,,,,,
Fusion,Enterprise Application,?,?,No information available,Unknown,Unknown,Unknown,,,,,,Unknown,,,,,,,,,,
GE-Q Special Answers,Enterprise Application,System Component,n/a,Specials Answers are for customers who have asked for a cheque to be cleared. When a customer requests a Special Answer~ the branch will complete a special answer form and fax it~ with a copy of the cheque~ to Support Services who will input the details into the automated Special Answer system then forward the request to the paying bank. GQ Special Answer is the desktop application where the details are entered. Staff can view the request and enter details of the account etc.,Technology Operations,COO~ Enterprise Operations ,Unknown,IT,IT,,"Specials Answers are for customers who have asked for a cheque to be cleared. When a customer requests a Special Answer~ the branch will complete a special answer form and fax it~ with a copy of the cheque~ to Support Services who will input the details into the automated Special Answer system then forward the request to the paying bank.
 
Approximately 2000 special answer requests are received each month by Support Services Bank staff must process within a limited time period to get an answer back to the customer.
 
This system has two parts:
GQ Special Answers 
gRobot
GQ Special Answer is the desktop application where the details are entered. Staff can view the request and enter details of the account etc.",,Tier 2,,,,,,,,,,
gRobot,Enterprise Application,System Component,n/a,,Technology Operations,COO~ Enterprise Operations ,Unknown,IT,IT,,gRobot polls for emails in the queue (every 4 minutes) and sends the fax to GE-Q Special Answers,,Tier 2,,,,,,,,,,
Hotlink,Enterprise Application,Actor,n/a,,N/A,Unknown,Unknown,Vodafone,Vodafone,,"Vodafone HotLink is a service offered by Vodafone that enables customers to top up their Prepay or pay their phone bill straight from a mobile.
Ê",,Tier 2,,,,,,,,,,
HSM8-SE Units,Enterprise Application,Infrastructure Component,n/a,,Unknown,Unknown,Unknown,,,,,,Unknown,,,,,,,,,,
Imprint,Enterprise Application,System Component,n/a,Component of EDS. Web-based application that enables users to view cheque images. Users log into EDS and view cheque images held by EDS. Images are not held locally. Currently 16 users.,N/A,COO~ Enterprise Operations ,Unknown,HP,HP,,"Web-based application that enables users to view cheque images. Users log into EDS and view cheque images held by EDS. Images are not held locally. Currently 16 users.
",During crisis~ implement relief package for Business and Retail Customers ,Tier 2,,,,,,,,,,
International Middleware,Enterprise Application,Platform Component,n/a,,Wholesale Application Delivery,COO~ Payment Services~ Business Markets Treasury and Intl Operations,COO~ Payment Services~ Business Markets Treasury and Intl Operations,IT,IT,,All International functions across all channels pass through here.,,Tier 1,,,,,,,,,,
Intranet,Enterprise Application,System,N,,Application Development,People and Business Services~ Communications,Unknown,IT,IT,,"Built on Sharepoint~ this is the new Kiwibank intranet from March 2010~ implemented under Project KB0234. Link to site: http://ourspace
 
The site was developed by KnowledgeCue in conjunction with internal Kiwibank Sharepoint developers~ and page design by Springload.
 
Support
Each Business group has their own page/s for which they have their own Content Managers and Content Authors (see SME field). This network of support staff play a role in aiding other staff who use the site~ answer their queries~ and keep the the information up to date. 
If there is a technical fault with the intranet~ and internal support staff cannot resolve it~ an incident should be logged to the Service Desk~ and assigned to the resolver groups outlined below.
Overall responsibility for the intranet's information resides ",Coordination of Crisis Management  Function during Crisis                ,Tier 2,,,,,,,,,,
Jadestar,Enterprise Application,Desktop Application,n/a,,N/A,People and Business Services~ HR Information Systems,Unknown,Jade Software,Jade Software,,"Jadestar is a Jade thin client application which has been installed on the HR desktops (hard drive). It provides a link for HR to access the core HRIS database application hosted by Jade in Christchurch. 
",Evacuate all persons in the building and account for staff and visitors,Tier 2,,,,,,,,,,
JPMorgan,Enterprise Application,Actor,n/a,"Web browser application from JP Morgan that enables the Settlements team to send trade instructions and generate reports.
",Wholesale Application Delivery,Business Markets~ Financial Markets,Business Markets (Financial Markets),JPMorgan,JPMorgan,,"Web browser application from JP Morgan that enables the Settlements team to send trade instructions and generate reports.
Ê
JP Morgan provides wholesale financial services throughout the world",,Tier 2,Internet dependence,,,,,,,,,
K2,Enterprise Application,Platform,n/a,,Application Development,Personal Markets~ Customer Service Experience,Unknown,K2,Datacom,,"K2 is a software platform for building workflows and process-driven applications across the enterprise. With its close integration with Sharepoint and other Microsoft products Kiwibank have invested in this platform in order to build new business applications~ and automate internal processes.
 
",Telephone/Online Enquiries,Tier 2,,,,,,,,,,
Kofax,Enterprise Application,Platform,n/a,,Application Development,COO~ Enterprise Operations ,Unknown,Kofax,Datcom,,Document scanning and management,,Unknown,,,,,,,,,,
Landonline,Enterprise Application,Actor,n/a,Provided by LINZ,N/A,Personal Markets~ Specialist Sales,Unknown,NA,N/A,,"Landonline provides land professionals with secure access to New Zealand's only authoritative titles register and digital cadastre maintained by LINZ. 
Ê
The functionally smart system enables registered users to conduct secure electronic title and survey transactions in real time~ automating and speeding up traditional (and sometimes prolonged and complex) manual processes.
Ê
Landonline is not designed for public access or use. Its survey and title lodgement and registration functions can only be accessed by authenticated~ registered users to ensure the integrity of the titles register and digital cadastre is maintained at all times.
Ê
Kiwibank utilises the e-search function of Landonline~ which connects to LINZ using a verified secure citrix connection.",,Tier 2,,,,,,,,,,
Lexlegal,Enterprise Application,System,Y,"LEX Legal Suite is matter management system (provided by LEX~ an Australian company) that allows the Kiwibank Legal Team to:
- Capture and share the main details of each matter~ such as name~ work type~ client~ background and contacts
 - Track information about each matter~ such as file notes~ reminders~ invoices and time
 - Generate a wide variety of reports~ such as monthly reports and analyses of spending with law firms

",N/A,Legal,Unknown,LEX,Datacom,,"LEX Legal Suite is matter management system (provided by LEX~ an Australian company) that allows the Kiwibank Legal Team to:ÊCapture and share the main details of each matter~ such as name~ work type~ client~ background and contacts
ÊTrack information about each matter~ such as file notes~ reminders~ invoices and time
ÊGenerate a wide variety of reports~ such as monthly reports and analyses of spending with law firms

Installation:
The Lex Legal Suite solution consists of:End user on a workstation with a web browser.AD Group: 'Managed Users Ð Lex Legal Suite UsersÕProxy exception 'lexlegal'Added as a Trusted siteWeb application hosted on a web server.Backend database containing a configuration databaseSharePoint document library
For more information refer to the design documentation.
",,Tier 2,,,,,,,,,,
Mastercard,Enterprise Application,Actor,n/a,,Application Development,COO~ Payment Services ,Unknown,Mastercard,Mastercard,,Kiwibank send and receive Mastercard scheme files on a daily basis; see Mastercard Trans,,Tier 2,,,,,,,,,,
MIS,Enterprise Application,?,?,No information available,Unknown,Business Markets,Unknown,,,,,"Deal Execution (including booking & bill trading)

*Funds Management*",Unknown,,,,,,,,,,
Move-Peripheral,Enterprise Application,?,?,No information available,Unknown,Unknown,Unknown,,,,,,Unknown,,,,,,,,,,
Move-Printers,Enterprise Application,?,?,No information available,Unknown,Unknown,Unknown,,,,,,Unknown,,,,,,,,,,
Move-Server,Enterprise Application,?,?,No information available,Unknown,Unknown,Unknown,,,,,,Unknown,,,,,,,,,,
Multi Purpose Transactions (MPT),Enterprise Application,Desktop Application,n/a,,Technology Operations,COO~ Enterprise Operations ,Unknown,IT,IT,,"An Access DB called MPT resides on a PC in the Ultracs Support area. Its used to create one-off transactions i.e. reverse transactions/fees~ wholesale settlements. The DB has a form for DR and CR details. Only a few people from Support Services have access to this system.
",Daily Settlements,Tier 2,,,,,,,,,,
NCC,Enterprise Application,?,?,No information available,Unknown,Unknown,Unknown,,,,,,Unknown,,,,,,,,,,
NzClear,Enterprise Application,Actor,n/a,,Wholesale Application Delivery,Business Markets~ Treasury and Intl Operations,Unknown,Reserve Bank of NZ,Reserve Bank of NZ,Complete,"""NZClear is a RBNZ owned system. NZClear is used for the following tasks:   To view and manage KiwibankÕs ESAS account~ Buy and Sell NZD denominated~ Securities. Issue Kiwibank short dated discounted securities~ Settlement of some of Kiwibank NZD cash obligations~ Holds our portfolio of NZD denominated securities~ Settlement of SBI transactions under 3LC conditions (future state under SBI from early 2012. 3LC can be invoked by Kiwibank or another bank)~ Note: 3LC refers to the use of NZ Clear for file transfer and settlement~ in the event that SWIFT services~ Kiwibanks SWIFT connectivity or RBNZ SWIFT connectivity is unavailable. It is also the only means through which Kiwibank Treasury and support staff can view the Kiwibank ESAS account in real time.  NZ Clear has been enhanced to allow the sending bank to upload interchange files into the NZ Clear system (prior to Cash P or R entered)~ and the receiving bank to download the interchange file (after Cash P or R).  Accordingly~ this provides a solution for both file interchange and settlement.  Operational Processes~ The Interbank Wash-up is an absolute essential~ performed daily between 7.00 am and 8.30 am. Usually takes approx. 1.30 hrs for the Treasury Operations team to settle. Cut-off for NZClear is 8.30am sharp. Treasury Operations team receive a fax and email from EDS with the list of transactions via the banking network. Treasury Operations then use NZClear to enter these transactions. Note: This reflects the current state~ not as it will be under SBI.  Under SBI~ overnight processing is no longer routed through EDS.  Settlement will be on a gross bilateral basis via SWIFT.  The ÒWash-upÓ period will still exist but more so for the banks to attempt to square up their accounts at the Reserve Bank to levels they are happy with rather than the settlement of retail flow based transactions.  There are 6 PCs with a dedicated IP address to the Reserve Bank. Four in the Treasury Operations team~ and two from Wholesale IT. Plus 2 PCs at the Treasury/Treasury Support BCP site on level 12 of Radio New Zealand House. Each PC has its own static IP address to enabled it to pass through the kiwibank firewall to access to reserve Bank NZClear system via a common IP address.""",Collateral Management,Tier 1,,,,,,,,,,
OBRProcessing,Enterprise Application,n/a,n/a,"Open Bank Resolution is a Reserve Bank initiative designed to open the bank for business on the next business day after its temporary closure following an insolvency event or an event that triggered putting it under statutory management.  The bank will be able to provide customers with full or partial access to their accounts and other bank services with little interruption.
During the temporary closure~ customersÕ accounts may be frozen and the Statutory Manager will determine the funds required to meet the bankÕs obligations to the industry.  This amount will be transferred to accounts under the control of the Statutory Manager and the remainder then unfrozen and available to customers the following day.
A condition of registration as a bank (from June 2013) is to be pre-positioned for this funds freeze event if it is required.

Components and Functionality
The OBR process brings together existing functionality~ updates to existing extracts to add additional transaction information and the development of a database. This database~ Tabatha~ will store the extracted transaction information~ calculate funds freeze values and provide update files to the different transaction systems.
",Application Development,Risk Management,Unknown,IT,IT,,"Open Bank Resolution is a Reserve Bank initiative designed to open the bank for business on the next business day after its temporary closure following an insolvency event or an event that triggered putting it under statutory management.Ê The bank will be able to provide customers with full or partial access to their accounts and other bank services with little interruption.
During the temporary closure~ customersÕ accounts may be frozen and the Statutory Manager will determine the funds required to meet the bankÕs obligations to the industry.Ê This amount will be transferred to accounts under the control of the Statutory Manager and the remainder then unfrozen and available to customers the following day.
A condition of registration as a bank (from June 2013) is to be pre-positioned for this funds freeze event if it is required.

Components and Functionality
The OBR process brings together existing functionality~ updates to existing extracts to add additional transaction information and the development of a database. This database~ Tabatha~ will store the extracted transaction information~ calculate funds freeze values and provide update files to the different transaction systems.
An Operations Manual has been developed for this process and will be held securely. The individuals involved in this process will be provided with the relevant portion of the manual during any testing and if this event ever occurs. The complete manual would be available to the GM that co-ordinates such an event and a hard copy will be held by the Risk team in a secure location.
This process will be tested twice yearly? And any updates to the Operations Manual arising from the test will be made. The manual has been created by the Core and Integration Delivery team and will be a joint responsibility between them and the FIST Operational Resilience team.
Key Steps in the Process (Summarised)
1.ÊStatutory Manager appointed/OBR invoked
2.ÊFreeze systems/isolate bank
3.ÊShut down access to Kiwibank systems
4.ÊFreeze VPS
5.ÊPrepare Ultracs for fund freeze
6.ÊRun International processes
7.ÊRun B2K processes
8.ÊRun Treasury/Wholesale processes
9.ÊPerform EOD/Start of Day for Ultracs
10.ÊLoad information into Tabatha
11.ÊCalculate funds freeze and populate output files
12.ÊApply funds freeze
13.ÊPerform reconciliations
14.ÊMove funds to OBR account
15.ÊPerform start of day
16.ÊUnfreeze systems/reopen bank
",,Tier 1,,,,,,,,,,
OnlineSecurity,Enterprise Application,?,?,No information available,Unknown,Unknown,Unknown,,,,,,Unknown,,,,,,,,,,
Outlook,Enterprise Application,Platform,n/a,,Technology Operations,COO~ Information Technology,Unknown,,,,,"Deal Execution (including booking & bill trading)

*Funds Management*",Unknown,,,,,,,,,,
